stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code,stop_code,stop_desc,zone_id,stop_url,stop_timezone,wheelchair_boarding
3041BC0001U1,Cardoso de Moraes,-22.85749,-43.25809,0,3041BC0001E0,,,,,,,
3041BC0001U2,Cardoso de Moraes,-22.85739,-43.25807,0,3041BC0001E0,,,,,,,
3041BC0002U1,Santa Luzia,-22.8548,-43.25366,0,3041BC0002E0,,,,,,,
3041BC0002U2,Santa Luzia,-22.85471,-43.25364,0,3041BC0002E0,,,,,,,
3042BC0001U1,Olaria,-22.84856,-43.26549,0,3042BC0001E0,,,,,,,
3042BC0001U2,Olaria,-22.8485,-43.26544,0,3042BC0001E0,,,,,,,
3043BC0001U1,Pastor José Santos,-22.8391,-43.28335,0,3043BC0001E0,,,,,,,
3043BC0001U2,Pastor José Santos,-22.83903,-43.2833,0,3043BC0001E0,,,,,,,
3043BC0002U1,Penha II,-22.84201,-43.27684,0,,,,,,,,
3043BC0002X1,Penha II,-22.84191,-43.27598,0,,,,,,,,
3043BC0003U2,Penha I,-22.84138,-43.27679,0,,,,,,,,
3043BC0003X2,Penha I,-22.84186,-43.27746,0,,,,,,,,
3043BC0004U2,Ibiapina,-22.84239,-43.27251,0,,,,,,,,
3043BC0112U2,Ibiapina,-22.8424821341619,-43.2725570846558,0,,,,,,,,
3044BC0001U1,Pedro Taques,-22.84144,-43.29871,0,,,,,,,,
3044BC0001U2,Pedro Taques,-22.84138,-43.29877,0,,,,,,,,
3044BC0002U1,Praça do Carmo,-22.83882,-43.29497,0,,,,,,,,
3044BC0002U2,Praça do Carmo,-22.83873,-43.29502,0,,,,,,,,
3044BC0003U1,Guaporé,-22.83768,-43.28982,0,,,,,,,,
3044BC0003U2,Guaporé,-22.8376,-43.28982,0,,,,,,,,
3072BC0001U1,Vila Kosmos,-22.8497,-43.30793,0,,,,,,,,
3072BC0001U2,Vila Kosmos,-22.84965,-43.308,0,,,,,,,,
3073BC0001U1,Marambaia,-22.85307,-43.32025,0,,,,,,,,
3073BC0001U2,Marambaia,-22.85305,-43.32037,0,,,,,,,,
3073BC0002U1,Vicente de Carvalho,-22.85245,-43.31239,0,,,,,,,,
3073BC0002U2,Vicente de Carvalho,-22.85237,-43.31243,0,,,,,,,,
3073BC0002X1,Vicente de Carvalho,-22.85289,-43.31296,0,,,,,,,,
3073BC0002X2,Vicente de Carvalho,-22.85281,-43.31302,0,,,,,,,,
3078BC0001U1,Pinto Teles,-22.8884,-43.34588,0,,,,,,,,
3078BC0001U2,Pinto Teles,-22.88837,-43.34597,0,,,,,,,,
3083BC0001U1,Campinho,-22.88213,-43.34185,0,,,,,,,,
3083BC0001U2,Campinho,-22.88212,-43.34194,0,,,,,,,,
3083BC0002P1,Terminal Paulo da Portela :: Desembarque (BRT),-22.87867,-43.33636,0,3083BC0002T9,,,,,,,
3083BC0002P2,Terminal Paulo da Portela :: Embarque (BRT),-22.87767,-43.33682,0,3083BC0002T9,,,,,,,
3083BC0003U1,Madureira / Manaceia,-22.87757,-43.33624,0,,,,,,,,
3083BC0003X1,Madureira / Manaceia,-22.87694,-43.33585,0,,,,,,,,
3083BC0003X2,Madureira / Manaceia,-22.87682,-43.33587,0,,,,,,,,
3083BC0004U1,Mercadão de Madureira,-22.87023,-43.3355,0,,,,,,,,
3083BC0004U2,Mercadão de Madureira,-22.87021,-43.33558,0,,,,,,,,
3083BC0005U1,Otaviano,-22.8657929284878,-43.3342988048935,0,,,,,,,,
3083BC0005U2,Otaviano,-22.86578,-43.3344,0,,,,,,,,
3083BC0006U1,Vila Queiroz,-22.86136,-43.33029,0,,,,,,,,
3083BC0006U2,Vila Queiroz,-22.86132,-43.33037,0,,,,,,,,
3084BC0001U1,Vaz Lobo,-22.85653,-43.32822,0,,,,,,,,
3084BC0001U2,Vaz Lobo,-22.85646,-43.32827,0,,,,,,,,
3104BC0001U2,Galeão - Tom Jobim 2,-22.81451,-43.24633,0,,,,,,,,
3104BC0002U2,Galeão - Tom Jobim 1,-22.81107,-43.25154,0,,,,,,,,
3105BC0001P2,Terminal Aroldo Melodia :: Plat. B (BRT),-22.83946,-43.23977,0,3105BC0001T9,,,,,,,
3157BC0001U1,Maré,-22.84705,-43.24373,0,3157BC0001E9,,,,,,,
3157BC0001U2,Maré,-22.84696,-43.24373,0,3157BC0001E9,,,,,,,
4115BC0001U1,Centro Metropolitano,-22.97334,-43.36562,0,,,,,,,,
4115BC0001U2,Centro Metropolitano,-22.97341,-43.36561,0,,,,,,,,
4115BC0002U0,Praça do Bandolim,-22.95865,-43.38341,0,,,,,,,,
4115BC0002U1,Rede Sarah,-22.97327,-43.37664,0,,,,,,,,
4115BC0002U2,Rede Sarah,-22.97336,-43.37666,0,,,,,,,,
4115BC0004U1,Vila Sapê - IV Centenário,-22.95221,-43.37453,0,4115BC0004E0,,,,,,,
4115BC0004U2,Vila Sapê - IV Centenário,-22.95217,-43.3746,0,4115BC0004E0,,,,,,,
4115BC0005U1,Recanto das Palmeiras,-22.94827,-43.37237,0,4115BC0005E0,,,,,,,
4115BC0005U2,Recanto das Palmeiras,-22.94826,-43.37246,0,4115BC0005E0,,,,,,,
4115BC0006P2,Terminal Centro Olímpico :: Plataforma B (BRT),-22.97206,-43.40103,0,4115BC0006T9,,,,,,,
4115BC0242U1,Pedro Corrêa,-22.9678288667015,-43.3906997451364,0,4115BC0241E9,,,,,,,
4115BC0243U2,Pedro Corrêa,-22.9674500200188,-43.3905410390391,0,4115BC0241E9,,,,,,,
4115BL0001U1,Morro do Outeiro,-22.97146,-43.4013,0,,,,,,,,
4115BL0001U2,Morro do Outeiro,-22.97144,-43.4014,0,,,,,,,,
4115BL0001X1,Morro do Outeiro,-22.97044,-43.40032,0,,,,,,,,
4115BL0001X2,Morro do Outeiro,-22.97036,-43.4004,0,,,,,,,,
4115BL0002U1,Minha Praia,-22.96675,-43.39698,0,,,,,,,,
4115BL0002U2,Minha Praia,-22.96669,-43.39703,0,,,,,,,,
4115BL0003U1,Asa Branca,-22.9632,-43.39368,0,,,,,,,,
4115BL0003U2,Asa Branca,-22.96315,-43.39376,0,,,,,,,,
4115BL0004U1,Ventura,-22.94776,-43.39182,0,,,,,,,,
4115BL0004U2,Ventura,-22.94782,-43.39187,0,,,,,,,,
4115BL0005U1,Colônia,-22.94106,-43.39459,0,,,,,,,,
4115BL0005U2,Colônia,-22.94108,-43.39467,0,,,,,,,,
4115BL0006U1,Outeiro Santo,-22.92796,-43.39593,0,,,,,,,,
4115BL0006U2,Outeiro Santo,-22.92804,-43.39599,0,,,,,,,,
4119BC0002U2,Praça do Bandolim,-22.95858,-43.38345,0,,,,,,,,
4119BC0003U1,Arroio Pavuna,-22.9553,-43.37732,0,4119BC0003E0,,,,,,,
4119BC0003U2,Arroio Pavuna,-22.95526,-43.3774,0,4119BC0003E0,,,,,,,
4119BC0051U1,Curicica,-22.9598667133228,-43.3888658216309,0,4119BC0001E9,,,,,,,
4119BC0052U2,Curicica,-22.9598173189157,-43.3884707118121,0,4119BC0001E9,,,,,,,
4119BL0001U1,Leila Diniz,-22.95295,-43.39043,0,,,,,,,,
4119BL0001U2,Leila Diniz,-22.95291,-43.39054,0,,,,,,,,
4122BC0001U1,Divina Providência,-22.94064,-43.37251,0,4122BC0001E0,,,,,,,
4122BC0001U2,Divina Providência,-22.94067,-43.3726,0,4122BC0001E0,,,,,,,
4122BC0002X0,Santa Efigênia,-22.93665,-43.37175,0,,,,,,,,
4122BC0002X2,Santa Efigênia,-22.93664,-43.37184,0,,,,,,,,
4122BC0003U1,Merck,-22.93522,-43.37181,0,4122BC0003U0,,,,,,,
4122BC0003U2,Merck,-22.93524,-43.3719,0,4122BC0003U0,,,,,,,
4122BC0004U1,André Rocha,-22.92948,-43.37339,0,,,,,,,,
4122BC0004U2,André Rocha,-22.92948,-43.37347,0,,,,,,,,
4122BC0192X2,Taquara,-22.92377,-43.37396,0,4122BC0197E0,,,,,,,
4122BC0193U2,Taquara,-22.92457,-43.37389,0,4122BC0197E0,,,,,,,
4122BC0196U1,Taquara,-22.92455,-43.37379,0,4122BC0197E0,,,,,,,
4122BC0198X1,Taquara,-22.92377,-43.37386,0,4122BC0197E0,,,,,,,
4122BC0297U2,Aracy Cabral,-22.9200694983304,-43.3680170096187,0,4122BC0296E9,,,,,,,
4122BC0298U1,Aracy Cabral,-22.9202255486096,-43.3683724709861,0,4122BC0296E9,,,,,,,
4122BL0001U1,Boiuna,-22.9156602053702,-43.3981493374747,0,,,,,,,,
4122BL0001U2,Boiúna,-22.91562,-43.39807,0,,,,,,,,
4123BC0001U1,Tanque,-22.91588,-43.36148,0,,,,,,,,
4123BC0001U2,Tanque,-22.9159,-43.36161,0,,,,,,,,
4123BC0001X1,Tanque,-22.91523,-43.36113,0,,,,,,,,
4123BC0001X2,Tanque,-22.91523,-43.3612,0,,,,,,,,
4124BC0001U1,Ipase,-22.90469,-43.357,0,,,,,,,,
4124BC0001U2,Ipase,-22.9046782640493,-43.357086880374,0,,,,,,,,
4124BC0002U1,Praça Seca,-22.89805,-43.35245,0,,,,,,,,
4124BC0002U2,Praça Seca,-22.89801,-43.35253,0,,,,,,,,
4124BC0002X1,Praça Seca,-22.89742,-43.35195,0,,,,,,,,
4124BC0002X2,Praça Seca,-22.89741,-43.35204,0,,,,,,,,
4124BC0003U1,Capitão Menezes,-22.89291,-43.34858,0,,,,,,,,
4124BC0003U2,Capitão Menezes,-22.89288,-43.34866,0,,,,,,,,
4128B00225P0,Terminal Alvorada :: Plataforma A (Desembarque),-23.0010774069003,-43.3648087880859,0,4128BO0010T9,,,,,,,
4128BC0001U1,Lourenço Jorge,-22.99462,-43.36585,0,,,,,,,,
4128BC0001U2,Lourenço Jorge,-22.99461,-43.36593,0,,,,,,,,
4128BC0002U1,Aeroporto de Jacarepaguá,-22.98903,-43.36576,0,,,,,,,,
4128BC0002U2,Aeroporto de Jacarepaguá,-22.98903,-43.36584,0,,,,,,,,
4128BC0003U1,Via Parque,-22.98397,-43.36567,0,,,,,,,,
4128BC0003U2,Via Parque,-22.98396,-43.36576,0,,,,,,,,
4128BC0004U1,Rio 2,-22.97319,-43.38326,0,,,,,,,,
4128BC0004U2,Rio 2,-22.97327,-43.38322,0,,,,,,,,
4128BC0004X1,Rio 2,-22.97319,-43.38234,0,,,,,,,,
4128BC0004X2,Rio 2,-22.97328,-43.38234,0,,,,,,,,
4128BC0005U1,Parque Olímpico,-22.97328,-43.3935,0,,,,,,,,
4128BC0005U2,Parque Olímpico,-22.97316,-43.39352,0,,,,,,,,
4128BL0001U1,Ilha Pura,-22.98957,-43.41762,0,,,,,,,,
4128BL0001U2,Ilha Pura,-22.98951,-43.41767,0,,,,,,,,
4128BL0002U1,Olof Palme,-22.98179,-43.41018,0,,,,,,,,
4128BL0002U2,Olof Palme,-22.98177,-43.41026,0,,,,,,,,
4128BL0003U1,Riocentro,-22.97695,-43.40641,0,,,,,,,,
4128BL0003U2,Riocentro,-22.97692,-43.40647,0,,,,,,,,
4128BO0001U1,Pontões / Barrasul,-23.00551,-43.4319,0,,,,,,,,
4128BO0001U2,Pontões / Barrasul,-23.00543,-43.43195,0,,,,,,,,
4128BO0002U1,Pedra de Itaúna,-23.00295,-43.424,0,,,,,,,,
4128BO0002U2,Pedra de Itaúna,-23.00287,-43.42405,0,,,,,,,,
4128BO0003C1,Interlagos,-23.0008306278048,-43.4174854592273,0,,,,,,,,
4128BO0003U1,Interlagos,-23.00092,-43.41743,0,,,,,,,,
4128BO0004U1,Golfe Olímpico,-23.00009,-43.41223,0,,,,,,,,
4128BO0004U2,Golfe Olímpico,-22.99998,-43.41221,0,,,,,,,,
4128BO0005U1,Riomar,-22.99999,-43.40692,0,,,,,,,,
4128BO0005U2,Riomar,-22.9999,-43.40689,0,,,,,,,,
4128BO0010P1,Terminal Alvorada :: Plataforma A (Embarque),-23.0011169103619,-43.3663858012581,0,4128BO0010T9,,,,,,,
4128BO0010P2,Terminal Alvorada :: Plataforma B (Embarque),-23.0012740829401,-43.365286095562,0,4128BO0010T9,,,,,,,
4128BO0011U1,Barra Shopping (Parador),-23.00002,-43.3613,0,,,,,,,,
4128BO0011U2,Barra Shopping (Parador),-22.99993,-43.36131,0,,,,,,,,
4128BO0012X2,Barra Shopping (Expresso),-22.99991,-43.35982,0,,,,,,,,
4128BO0013U1,Parque das Rosas,-23.00011,-43.35249,0,,,,,,,,
4128BO0014U1,Ricardo Marinho,-23.00022,-43.3466,0,,,,,,,,
4128BO0014U2,Ricardo Marinho,-23.00011,-43.34654,0,,,,,,,,
4128BO0015U1,Barra Garden / Riviera,-23.0003,-43.3421,0,,,,,,,,
4128BO0015U2,Barra Garden / Riviera,-23.00021,-43.34202,0,,,,,,,,
4128BO0016U1,Afrânio Costa,-23.0006148106138,-43.3351583380461,0,,,,,,,,
4128BO0016U2,Afrânio Costa,-23.00052,-43.33515,0,,,,,,,,
4128BO0017U1,Paulo Malta Rezende,-23.00132,-43.3291,0,,,,,,,,
4128BO0017U2,Paulo Malta Rezende,-23.00124,-43.32906,0,,,,,,,,
4128BO0018U1,Bosque Marapendi,-23.00336,-43.32396,0,,,,,,,,
4128BO0018U2,Bosque Marapendi,-23.00327,-43.3239,0,,,,,,,,
4128BO0018X1,Bosque Marapendi,-23.00373,-43.32303,0,,,,,,,,
4128BO0018X2,Bosque Marapendi,-23.00365,-43.32298,0,,,,,,,,
4128BO0019P1,Jardim Oceânico,-23.00675,-43.31246,0,4128BO0019T9,,,,,,,
4128BO0019P2,Jardim Oceânico,-23.0066,-43.31258,0,4128BO0019T9,,,,,,,
4128BO0176U2,Parque das Rosas,-23.0000125930416,-43.3524814576721,0,,,,,,,,
4128BO0211U1,Santa Monica Jardins,-23.0001702807026,-43.3984955346725,0,4128BO0213E9,,,,,,,
4128BO0212U2,Santa Monica Jardins,-23.0002505226361,-43.3984960506834,0,4128BO0213E9,,,,,,,
4128BO0215U1,Américas Park,-23.0003652046507,-43.3899480199705,0,4128BO0214U9,,,,,,,
4128BO0216U2,Américas Park,-23.0004693355743,-43.3896120301934,0,4128BO0214U9,,,,,,,
4128BO0218U2,Novo Leblon,-23.0004588471088,-43.3830040537141,0,4128BO0217E9,,,,,,,
4128BO0219U1,Novo Leblon,-23.0003705811156,-43.383481074372,0,4128BO0217E9,,,,,,,
4128BO0221U2,Bosque da Barra,-23.0003523326075,-43.3772558807534,0,4128BO0220E9,,,,,,,
4128BO0222U1,Bosque da Barra,-23.0002710105551,-43.3776882401735,0,4128BO0220E9,,,,,,,
